ind,season,town,prop.fruit,blp,cfp,cap,gsp,lcp,mtp,mbp,mcp,mrp,mlp,oap,pwp,qpp,spp,srp,vmp
B4,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Spring,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Spring,W,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0
Scuteless,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Spring,S,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Spring,S,0.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0
589,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Spring,E,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
40,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Summer,W,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Summer,S,0.48,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
21,Summer,W,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
606,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,Summer,W,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0
4D2,Summer,S,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Summer,W,0.21,0,0,0.15,0,0,0,0,0.05,0,0,0,0,0,0,0,0.01
US,Summer,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Summer,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Summer,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Summer,W,0.57,0,0,0,0,0,0,0.05,0,0.01,0,0.3,0.01,0,0,0.2,0
606,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Summer,S,0.74,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.69,0
21,Summer,W,0.11,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0.05,0
589,Summer,E,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Scuteless,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Summer,S,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0
300,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,Summer,W,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
40,Summer,W,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.55,0
454,Summer,W,0.76,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0
490,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,Summer,W,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.49,0
606,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Summer,W,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0
Scuteless,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Summer,E,0.55,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0.25,0
615,Summer,W,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.64,0
4D2,Summer,S,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0
B4,Summer,W,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
300,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Fall,W,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.39,0
454,Fall,W,0.95,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.94,0
21,Fall,W,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
79,Fall,W,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.05,0
606,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW,Fall,W,0.7,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.69,0
40,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Fall,S,0.81,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.8,0
UW,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW,Fall,W,0.84,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0.78,0
300,Fall,E,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
349,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Fall,W,0.15,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0,0
454,Fall,W,0.69,0,0,0,0.25,0,0,0.01,0,0,0,0,0,0,0.01,0.42,0
21,Fall,W,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.49,0
606,Fall,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
